temp_max;temp_avg;temp_min;prec;wd;ws;atmos_pres_avg;atmos_pres_min;atmos_pres_max;rh;ceil_hgt;visibility;FMA
20;18;15;0;123.64;3.6;1018.41;1017.506667;1019.283937;64.88;20241.67;11265;0
20;17.91;15;0;228.75;3.1;1018.41;1017.506667;1019.283937;76.4;7382.5;9647.27;0
20;17.08;15;0;157.5;3.6;1018.41;1017.506667;1019.283937;71.18;2997;11076.25;0
15;14.17;14;0;84.17;12.3;1018.41;1017.506667;1019.283937;94.28;527.5;8105.42;0
18;16.33;14;0;73.33;13.4;1018.41;1017.506667;1019.283937;57.37;10328.57;11076.25;0
19;17.17;14;0;333.33;7.2;1018.41;1017.506667;1019.283937;46.88;19100;11265;0
18;16.27;14;0;240;3.6;1018.41;1017.506667;1019.283937;64.06;1422.86;11265;0
17;16;15;0;165;3.1;1018.41;1017.506667;1019.283937;66.81;1805;11265;0
20;17.67;13;0;209;6.7;1018.41;1017.506667;1019.283937;60.26;22000;11265;0
20;18;13;0;283.33;3.6;1018.41;1017.506667;1019.283937;57.22;11626.25;11265;0
20;17.08;14;0;230;3.6;1018.41;1017.506667;1019.283937;61.76;13665;11265;0
19;16.83;14;0;216;3.1;1018.41;1017.506667;1019.283937;65.29;10354.44;11265;0
18;16.67;14;0;247.27;7.2;1018.41;1017.506667;1019.283937;68.81;5163.75;10795.83;0
20;18.33;14;0;174;4.1;1018.41;1017.506667;1019.283937;67.05;15016.67;11265;0
20;18.33;15;0;227;4.6;1018.41;1017.506667;1019.283937;69.31;22000;11265;0
21;19.08;15;0;145;4.1;1018.41;1017.506667;1019.283937;74.13;22000;11265;0
21;19.67;17;0;228.18;5.1;1018.41;1017.506667;1019.283937;72.33;7137;11265;0
20;19.09;16;0;228.89;5.7;1018.41;1017.506667;1019.283937;78.13;22000;11140.91;0
21;18.92;16;0;156.67;3.6;1018.41;1017.506667;1019.283937;79.93;22000;11265;0
19;17.33;14;0;193.33;4.1;1018.41;1017.506667;1019.283937;85.39;9550;10810;0
26;20.92;16;0;78.75;5.1;1018.41;1017.506667;1019.283937;57.53;22000;9946.67;0
26;23.67;20;0;115.83;4.6;1018.41;1017.506667;1019.283937;27.7;5400;10241.25;0
27;22.92;17;0;77;4.1;1018.41;1017.506667;1019.283937;35.04;19572.73;9900;0
21;19.58;17;0;235.71;5.7;1018.41;1017.506667;1019.283937;60.81;22000;11265;0
21;18.08;15;0;88.33;8.2;1018.41;1017.506667;1019.283937;52.34;12011.11;11265;0
20;17.75;13;0;230;5.1;1018.41;1017.506667;1019.283937;60.12;22000;11265;0
19;17;13;0;232.86;3.6;1018.41;1017.506667;1019.283937;61.18;14991.67;11265;0
21;19;15;0;239.09;7.2;1018.41;1017.506667;1019.283937;63.09;22000;11265;0
19;17.42;14;0;236.36;5.1;1018.41;1017.506667;1019.283937;68.42;18453.33;11265;0
19;17.86;16;0;200;3.1;1018.41;1017.506667;1019.283937;64.97;9857.14;11265;0
20;18.56;14;0;232.22;4.6;1018.41;1017.506667;1019.283937;71.81;19313.75;11265;0
20;18.17;15;0;229;4.1;1018.41;1017.506667;1019.283937;64.17;20241.67;11265;0
21;19.17;16;0;280;4.1;1018.41;1017.506667;1019.283937;58.65;22000;11265;0
21;19.17;15;0;215;4.1;1018.41;1017.506667;1019.283937;61.54;22000;10468.75;0
22;19.75;15;0;231;5.1;1018.41;1017.506667;1019.283937;59.4;22000;10468.75;0
19;17.63;15;0;255.71;4.1;1018.41;1017.506667;1019.283937;66.43;11430;11265;0
20;17.8;14;0;242;5.1;1018.41;1017.506667;1019.283937;64.6;22000;11265;0
20;18.42;15;0;230.91;5.1;1018.41;1017.506667;1019.283937;66.73;18463.33;11265;0
21;18.82;15;0;225;5.7;1018.41;1017.506667;1019.283937;72.68;22000;10396.36;0
23;19.42;15;0;186.36;6.2;1018.41;1017.506667;1019.283937;72.43;22000;10621.25;0
23;19.8;16;0;191;6.7;1018.41;1017.506667;1019.283937;71.25;22000;10173;0
22;19.14;15;0;215;8.7;1018.41;1017.506667;1019.283937;70.07;22000;11265;0
21;20;19;0;206.67;3.6;1018.41;1017.506667;1019.283937;70.7;22000;11037.5;0
22;19.82;16;0;220.91;3.6;1018.41;1017.506667;1019.283937;73.41;20150;11016.82;0
23;21.58;18;0;225;8.2;1018.41;1017.506667;1019.283937;51.27;19572.73;9900;0
26;22.83;20;0;96;3.1;1018.41;1017.506667;1019.283937;48.68;22000;4658.33;0
21;19.58;18;0;224.44;6.2;1018.41;1017.506667;1019.283937;72.68;22000;5500;0
20;18.36;15;0;157;4.6;1018.41;1017.506667;1019.283937;71.99;22000;10290;0
19;17;15;0;246.67;10.8;1018.41;1017.506667;1019.283937;52.9;22000;11265;0
18;16.36;14;0;156.67;4.6;1018.41;1017.506667;1019.283937;68.34;15100;11265;0
22;20;16;0;215;4.6;1018.41;1017.506667;1019.283937;56.03;22000;10424.17;0
23;21.42;20;0;234.29;3.6;1018.41;1017.506667;1019.283937;50.58;19572.73;9900;0
19;16.09;14;0;271.43;3.1;1018.41;1017.506667;1019.283937;72.14;2932.73;9168.64;0
21;18.82;15;0;240;5.7;1018.41;1017.506667;1019.283937;58.29;22000;10671.36;0
21;19.7;17;0;186.25;6.7;1018.41;1017.506667;1019.283937;57.69;22000;11265;0
21;19;16;0;30;9.3;1018.41;1017.506667;1019.283937;63.47;22000;9316.25;0
20;18.25;15;0;222;8.7;1018.41;1017.506667;1019.283937;50.84;22000;11265;0
19;17.25;15;0;233.33;6.7;1018.41;1017.506667;1019.283937;56.63;16762.5;11265;0
19;16.58;14;0;202.22;3.1;1018.41;1017.506667;1019.283937;64.32;11417.5;11265;0
21;18.25;14;0;202.5;5.7;1018.41;1017.506667;1019.283937;51.46;19682.22;11265;0
20;17.92;14;0;218.89;3.6;1018.41;1017.506667;1019.283937;63.78;22000;11265;0
21;18.64;14;0;196;4.6;1018.41;1017.506667;1019.283937;56.76;22000;11265;0
21;18.75;15;0;72.22;8.2;1018.41;1017.506667;1019.283937;47.86;20266.67;11265;0
21;18.75;15;0;100;10.3;1018.41;1017.506667;1019.283937;51.26;17834;11265;0
21;18.17;15;0;224.29;6.7;1018.41;1017.506667;1019.283937;54.9;22000;11265;0
19;17.17;14;0;183.33;6.7;1018.41;1017.506667;1019.283937;60.38;11470;11265;0
21;18.5;15;0;208.33;7.2;1018.41;1017.506667;1019.283937;56.88;19896;11265;0
20;17.75;14;0;233.75;6.7;1018.41;1017.506667;1019.283937;61.73;22000;11265;0
20;17.58;16;0;182.86;4.1;1018.41;1017.506667;1019.283937;54.51;3308.18;11265;0
19;17.33;14;0;223.64;4.1;1018.41;1017.506667;1019.283937;61.13;14939.17;11265;0
20;17.5;14;0;218.89;9.8;1018.41;1017.506667;1019.283937;67.02;22000;11265;0
20;18.3;14;0;207.78;4.1;1018.41;1017.506667;1019.283937;71.85;22000;11265;0
21;18.36;14;0;121.67;3.1;1018.41;1017.506667;1019.283937;71.91;22000;11265;0
22;19.64;16;0;227.5;8.2;1018.41;1017.506667;1019.283937;72.29;22000;11265;0
22;19.88;17;0;185;7.2;1018.41;1017.506667;1019.283937;57.08;12500;11265;0
21;18.7;16;0;251;7.2;1018.41;1017.506667;1019.283937;69.47;22000;11265;0
23;19.33;15;0;181.11;5.1;1018.41;1017.506667;1019.283937;60.38;22000;11265;0
22;19.25;15;0;181.67;5.7;1018.41;1017.506667;1019.283937;57.79;22000;11265;0
21;18.67;15;0;182;4.6;1018.41;1017.506667;1019.283937;52.96;22000;11265;0
20;18.27;15;0;154.29;3.6;1018.41;1017.506667;1019.283937;56.56;22000;11265;0
21;18.36;15;0;217;5.7;1018.41;1017.506667;1019.283937;62.49;22000;11265;0
21;19;15;0;202.5;4.1;1018.41;1017.506667;1019.283937;61.23;22000;11265;0
21;19.58;16;0;228.75;5.7;1018.41;1017.506667;1019.283937;58.58;16950;11265;0
22;20.17;17;0;148;5.1;1018.41;1017.506667;1019.283937;54.05;22000;11265;0
21;18.78;15;0;210;6.2;1018.41;1017.506667;1019.283937;68.36;22000;10051.67;0
23;19.92;16;0;203.64;8.2;1018.41;1017.506667;1019.283937;66.01;22000;10582.5;0
23;20.33;17;0;215;4.6;1018.41;1017.506667;1019.283937;56.38;22000;11265;0
23;20.82;17;0;55;7.7;1018.41;1017.506667;1019.283937;48.48;18654.55;11265;0
24;20.58;17;0;210;4.1;1018.41;1017.506667;1019.283937;58.26;22000;11265;0
22;20.33;18;0;195;6.7;1018.41;1017.506667;1019.283937;61.72;22000;11265;0
24;20.92;17;0;222;3.6;1018.41;1017.506667;1019.283937;68.3;22000;10241.25;0
24;21;17;0;244;4.1;1018.41;1017.506667;1019.283937;61.85;22000;10355;0
23;21.5;19;0;200;8.2;1018.41;1017.506667;1019.283937;56.27;22000;11265;0
22;20;16;0;162.86;7.7;1018.41;1017.506667;1019.283937;47.13;19028.57;11265;0
21;20.25;19;0;250;5.1;1018.41;1017.506667;1019.283937;60.1;6362.5;11265;0
